kkfls_lon,kkfls_lat,terra_lon,terra_lat,kkfln_lon,kkfln_lat
-151.541306084,59.6375895880001,-151.546576601,59.638331425,-151.541700463,59.63767043600009
-151.54139969462443,59.637517898899844,-151.54672982432794,59.638294481035615,-151.5418067809698,59.63760344610627
-151.54149330524888,59.6374462097996,-151.54688304765588,59.63825753707124,-151.54191309893957,59.637536456212445
-151.5415869158733,59.637374520699346,-151.54703627098382,59.63822059310686,-151.54201941690937,59.63746946631862
-151.54168052649771,59.6373028315991,-151.54718949431177,59.63818364914248,-151.54212573487916,59.63740247642479
-151.54177413712216,59.63723114249885,-151.5473427176397,59.6381467051781,-151.54223205284896,59.637335486530965
-151.54186774774658,59.6371594533986,-151.54749594096765,59.63810976121373,-151.54233837081873,59.63726849663714
-151.541961358371,59.63708776429835,-151.54764916429562,59.638072817249345,-151.54244468878852,59.63720150674332
-151.54205496899544,59.637016075198105,-151.54780238762356,59.63803587328497,-151.54255100675832,59.63713451684949
-151.54214857961986,59.63694438609785,-151.5479556109515,59.63799892932059,-151.54265732472808,59.63706752695567
-151.5422421902443,59.63687269699761,-151.54810883427945,59.63796198535621,-151.54276364269788,59.63700053706184
-151.54233580086873,59.636801007897354,-151.5482620576074,59.63792504139183,-151.54286996066767,59.63693354716801
-151.54242941149315,59.6367293187971,-151.54841528093533,59.63788809742746,-151.54297627863747,59.63686655727419
-151.5425230221176,59.636657629696856,-151.54856850426327,59.637851153463075,-151.54308259660723,59.636799567380365
-151.542616632742,59.6365859405966,-151.54872172759121,59.6378142094987,-151.54318891457703,59.63673257748654
-151.54271024336643,59.63651425149636,-151.54887495091916,59.63777726553432,-151.54329523254682,59.63666558759272
-151.54281279924834,59.63644581861836,-151.5490281742471,59.63774032156994,-151.5434015505166,59.636598597698885
-151.54291708722354,59.6363780162511,-151.54918139757504,59.63770337760556,-151.5435078684864,59.63653160780506
-151.54302137519872,59.63631021388384,-151.54933462090298,59.637666433641186,-151.54361418645618,59.63646461791124
-151.54312566317392,59.63624241151658,-151.54948784423092,59.637629489676804,-151.54372050442595,59.63639762801741
-151.54322995114913,59.63617460914931,-151.54964106755887,59.63759254571243,-151.54382682239574,59.63633063812359
-151.54333423912433,59.636106806782045,-151.54979429088684,59.63755560174805,-151.54393314036554,59.636263648229765
-151.54343852709954,59.63603900441478,-151.54994751421478,59.637518657783666,-151.54403945833533,59.63619665833594
-151.54354281507474,59.635971202047514,-151.55010073754272,59.63748171381929,-151.5441457763051,59.63612966844211
-151.54364710304995,59.63590339968025,-151.55025396087066,59.63744476985491,-151.5442520942749,59.636062678548285
-151.54375139102515,59.63583559731299,-151.5504071841986,59.637407825890534,-151.5443584122447,59.63599568865446
-151.54385567900036,59.63576779494573,-151.55056040752655,59.63737088192615,-151.54446473021446,59.63592869876064
-151.54395996697556,59.63569999257846,-151.5507136308545,59.63733393796178,-151.54457104818425,59.63586170886681
-151.54406425495074,59.6356321902112,-151.55086685418243,59.637296993997396,-151.54467736615405,59.63579471897299
-151.54416854292595,59.635564387843935,-151.55102007751037,59.63726005003302,-151.54478368412384,59.63572772907916
-151.54427283090115,59.635496585476666,-151.55117330083831,59.63722310606864,-151.5448900020936,59.63566073918533
-151.54437711887635,59.635428783109404,-151.55132652416626,59.637186162104264,-151.5449963200634,59.63559374929151
-151.54448140685156,59.63536098074214,-151.5514797474942,59.63714921813988,-151.5451026380332,59.635526759397685
-151.54458569482676,59.63529317837488,-151.55163297082214,59.63711227417551,-151.54520895600297,59.63545976950386
-151.54468998280197,59.63522537600761,-151.5517861941501,59.637075330211125,-151.54531527397276,59.63539277961004
-151.54479427077717,59.63515757364035,-151.55193941747805,59.63703838624675,-151.54542159194256,59.635325789716205
-151.54489855875238,59.63508977127309,-151.552092640806,59.63700144228237,-151.54552790991235,59.63525879982238
-151.54500284672758,59.63502196890582,-151.55224586413394,59.636964498317994,-151.54563422788212,59.63519180992856
-151.54510713470276,59.634954166538556,-151.55239908746188,59.63692755435361,-151.5457405458519,59.63512482003473
-151.54521142267797,59.634886364171294,-151.55255231078982,59.63689061038924,-151.5458468638217,59.63505783014091
-151.54531571065317,59.63481856180403,-151.55270553411776,59.636853666424855,-151.54595318179148,59.634990840247085
-151.54541999862838,59.63475075943676,-151.5528587574457,59.63681672246048,-151.54605949976127,59.63492385035325
-151.54552428660358,59.6346829570695,-151.55301198077365,59.6367797784961,-151.54616581773107,59.63485686045943
-151.54562857457879,59.63461515470224,-151.5531652041016,59.63674283453172,-151.54627213570083,59.634789870565605
-151.545732862554,59.63454735233497,-151.55331842742953,59.63670589056734,-151.54637845367063,59.63472288067178
-151.5458371505292,59.63447954996771,-151.55347165075747,59.63666894660296,-151.54648477164042,59.63465589077796
-151.5459414385044,59.634411747600446,-151.55362487408541,59.636632002638585,-151.54659108961022,59.63458890088413
-151.5460457264796,59.634343945233184,-151.55377809741339,59.6365950586742,-151.54669740757998,59.63452191099031
-151.54615001445478,59.634276142865914,-151.55393132074133,59.63655811470983,-151.54680372554978,59.63445492109648
-151.54625430243,59.63420834049865,-151.55408454406927,59.636521170745446,-151.54691004351957,59.63438793120265
-151.5463585904052,59.63414053813139,-151.5542377673972,59.63648422678107,-151.54701636148934,59.63432094130883
-151.5464628783804,59.63407273576412,-151.55439099072515,59.63644728281669,-151.54712267945914,59.634253951415005
-151.5465671663556,59.63400493339686,-151.5545442140531,59.636410338852315,-151.54722899742893,59.63418696152118
-151.5466714543308,59.6339371310296,-151.55469743738104,59.63637339488793,-151.54733531539873,59.63411997162736
-151.546775742306,59.633869328662335,-151.55485066070898,59.63633645092356,-151.5474416333685,59.634052981733525
-151.54688003028122,59.633801526295066,-151.55500388403692,59.636299506959176,-151.5475479513383,59.6339859918397
-151.54698431825642,59.633733723927804,-151.55515710736486,59.6362625629948,-151.54765426930808,59.63391900194588
-151.5470886062316,59.63366592156054,-151.5553103306928,59.63622561903042,-151.54776058727785,59.63385201205205
-151.5471928942068,59.63359811919327,-151.55546355402075,59.636188675066045,-151.54786690524764,59.63378502215823
-151.547297182182,59.63353031682601,-151.5556167773487,59.63615173110166,-151.54797322321744,59.633718032264404
-151.5474014701572,59.63346251445875,-151.55577000067663,59.63611478713729,-151.54807954118724,59.63365104237057
-151.54750575813242,59.63339471209149,-151.5559232240046,59.636077843172906,-151.548185859157,59.63358405247675
-151.54761004610762,59.63332690972422,-151.55607644733254,59.63604089920853,-151.5482921771268,59.633517062582925
-151.54771433408283,59.633259107356956,-151.55622967066049,59.63600395524415,-151.5483984950966,59.6334500726891
-151.54781862205803,59.633191304989694,-151.55638289398843,59.63596701127977,-151.54850481306636,59.63338308279528
-151.54792291003324,59.633123502622425,-151.55653611731637,59.63593006731539,-151.54861113103615,59.63331609290145
-151.54802719800844,59.63305570025516,-151.5566893406443,59.63589312335101,-151.54871744900595,59.63324910300763
-151.54813148598362,59.6329878978879,-151.55684256397225,59.635856179386636,-151.54882376697572,59.6331821131138
-151.54823577395882,59.63292009552064,-151.5569957873002,59.635819235422254,-151.5489300849455,59.63311512321997
-151.54834006193403,59.63285229315337,-151.55714901062814,59.63578229145788,-151.5490364029153,59.63304813332615
-151.54844434990923,59.63278449078611,-151.55730223395608,59.6357453474935,-151.5491427208851,59.632981143432325
-151.54854863788444,59.632716688418846,-151.55745545728402,59.63570840352912,-151.54924903885487,59.6329141535385
-151.54865292585964,59.63264888605158,-151.55760868061196,59.63567145956474,-151.54935535682466,59.632847163644676
-151.54875721383485,59.632581083684315,-151.5577619039399,59.635634515600366,-151.54946167479446,59.632780173750845
-151.54886150181005,59.63251328131705,-151.55791512726788,59.635597571635984,-151.54956799276422,59.63271318385702
-151.54894902692376,59.63243989059959,-151.55806835059582,59.63556062767161,-151.54967351383985,59.632645878243245
-151.5490308705268,59.63236460579792,-151.55822157392376,59.63552368370723,-151.5497772409938,59.63257786189913
-151.54911271412982,59.63228932099624,-151.5583747972517,59.63548673974285,-151.54988096814776,59.63250984555501
-151.54919455773287,59.63221403619456,-151.55852802057964,59.63544979577847,-151.5499846953017,59.6324418292109
-151.5492764013359,59.63213875139289,-151.55868124390759,59.635412851814095,-151.55008842245564,59.63237381286678
-151.54935824493896,59.63206346659121,-151.55883446723553,59.63537590784971,-151.55019214960961,59.632305796522665
-151.54944008854199,59.63198818178954,-151.55898769056347,59.63533896388534,-151.55029587676356,59.63223778017855
-151.549521932145,59.63191289698786,-151.5591409138914,59.63530201992096,-151.5503996039175,59.63216976383443
-151.54960377574807,59.63183761218619,-151.55929413721935,59.63526507595658,-151.55050333107147,59.63210174749032
-151.5496856193511,59.631762327384514,-151.5594473605473,59.6352281319922,-151.5506070582254,59.6320337311462
-151.54976746295415,59.63168704258284,-151.55960058387524,59.635191188027825,-151.55071078537935,59.631965714802085
-151.54984930655718,59.631611757781165,-151.55975380720318,59.63515424406344,-151.55081451253332,59.63189769845797
-151.5499311501602,59.63153647297949,-151.55990703053115,59.63511730009906,-151.55091823968726,59.63182968211385
-151.55001299376326,59.631461188177816,-151.5600602538591,59.63508035613469,-151.5510219668412,59.63176166576974
-151.5500948373663,59.63138590337614,-151.56021347718703,59.635043412170305,-151.55112569399517,59.63169364942562
-151.55017668096934,59.63131061857447,-151.56036670051498,59.63500646820593,-151.55122942114912,59.631625633081505
-151.55025852457237,59.63123533377279,-151.56051992384292,59.63496952424155,-151.55133314830306,59.63155761673739
-151.5503403681754,59.63116004897112,-151.56067314717086,59.63493258027717,-151.55143687545703,59.63148960039327
-151.55042221177845,59.631084764169444,-151.5608263704988,59.63489563631279,-151.55154060261097,59.63142158404916
-151.55050405538148,59.63100947936777,-151.56097959382674,59.634858692348416,-151.5516443297649,59.63135356770504
-151.55058589898454,59.630934194566095,-151.5611328171547,59.634821748384034,-151.55174805691888,59.631285551360925
-151.55066774258756,59.63085890976442,-151.56128604048263,59.63478480441966,-151.55185178407282,59.63121753501681
-151.5507495861906,59.630783624962746,-151.56143926381057,59.63474786045528,-151.55195551122677,59.63114951867269
-151.55083142979365,59.63070834016107,-151.5615924871385,59.6347109164909,-151.55205923838074,59.63108150232858
-151.55091327339667,59.6306330553594,-151.56174571046645,59.63467397252652,-151.55216296553468,59.63101348598446
-151.55099511699973,59.63055777055772,-151.5618989337944,59.634637028562146,-151.55226669268862,59.630945469640345
-151.55107696060276,59.63048248575605,-151.56205215712237,59.634600084597764,-151.5523704198426,59.63087745329623
-151.55115880420578,59.63040720095437,-151.5622053804503,59.63456314063339,-151.55247414699653,59.63080943695211
-151.55124064780884,59.6303319161527,-151.56235860377825,59.63452619666901,-151.55257787415047,59.630741420608
-151.55132249141187,59.630256631351024,-151.5625118271062,59.63448925270463,-151.55268160130444,59.63067340426388
-151.5514043350149,59.63018134654935,-151.56266505043413,59.63445230874025,-151.55278532845838,59.630605387919765
-151.55148617861795,59.630106061747675,-151.56281827376208,59.634415364775876,-151.55288905561233,59.63053737157565
-151.55156802222098,59.63003077694599,-151.56297149709002,59.634378420811494,-151.55299278276627,59.63046935523153
-151.55164986582403,59.62995549214432,-151.56312472041796,59.63434147684711,-151.55309650992024,59.63040133888742
-151.55173170942706,59.629880207342644,-151.5632779437459,59.63430453288274,-151.55320023707418,59.6303333225433
-151.5518135530301,59.62980492254097,-151.56343116707384,59.634267588918355,-151.55330396422812,59.630265306199185
-151.55189539663314,59.629729637739295,-151.5635843904018,59.63423064495398,-151.5534076913821,59.63019728985507
-151.55197724023617,59.62965435293762,-151.56373761372973,59.6341937009896,-151.55351141853603,59.63012927351095
-151.55205908383923,59.629579068135946,-151.56389083705767,59.634156757025224,-151.55361514568997,59.63006125716684
-151.55214092744225,59.62950378333427,-151.56404406038564,59.63411981306084,-151.55371887284394,59.62999324082272
-151.55222277104528,59.6294284985326,-151.56419728371358,59.63408286909647,-151.5538225999979,59.629925224478605
-151.55230461464834,59.62935321373092,-151.56435050704152,59.634045925132085,-151.55392632715183,59.62985720813449
-151.55238645825136,59.62927792892925,-151.56450373036947,59.63400898116771,-151.5540300543058,59.62978919179037
-151.55246830185442,59.629202644127574,-151.5646569536974,59.63397203720333,-151.55413378145974,59.62972117544626
-151.55255014545745,59.6291273593259,-151.56481017702535,59.633935093238954,-151.55423750861368,59.62965315910214
-151.55263198906047,59.629052074524225,-151.5649634003533,59.63389814927457,-151.55434123576765,59.629585142758025
-151.55271383266353,59.62897678972255,-151.56511662368123,59.6338612053102,-151.5544449629216,59.62951712641391
-151.55279567626656,59.628901504920876,-151.56526984700918,59.633824261345815,-151.55454869007553,59.62944911006979
-151.5528775198696,59.6288262201192,-151.56542307033712,59.63378731738144,-151.5546524172295,59.62938109372568
-151.55295936347264,59.62875093531753,-151.56557629366506,59.63375037341706,-151.55475614438345,59.62931307738156
-151.55304120707567,59.62867565051585,-151.565729516993,59.63371342945268,-151.5548598715374,59.62924506103744
-151.55312305067872,59.62860036571418,-151.56588274032094,59.6336764854883,-151.55496359869136,59.62917704469332
-151.55320489428175,59.6285250809125,-151.56603596364891,59.63363954152393,-151.5550673258453,59.629109028349205
-151.5532867378848,59.62844979611083,-151.56618918697686,59.633602597559545,-151.55517105299924,59.62904101200509
-151.55336858148783,59.628374511309154,-151.5663424103048,59.63356565359516,-151.5552747801532,59.62897299566097
-151.55345042509086,59.62829922650748,-151.56649563363274,59.63352870963079,-151.55537850730715,59.62890497931686
-151.5535322686939,59.628223941705805,-151.56664885696068,59.633491765666406,-151.5554822344611,59.62883696297274
-151.55361411229694,59.62814865690413,-151.56680208028862,59.63345482170203,-151.55558596161507,59.628768946628625
-151.55369595589997,59.628073372102456,-151.56695530361657,59.63341787773765,-151.555689688769,59.62870093028451
-151.55377779950302,59.62799808730078,-151.5671085269445,59.633380933773275,-151.55579341592295,59.62863291394039
-151.55385964310605,59.6279228024991,-151.56726175027245,59.63334398980889,-151.55589714307692,59.62856489759628
-151.5539414867091,59.627847517697425,-151.5674149736004,59.63330704584452,-151.55600087023086,59.62849688125216
-151.55402333031213,59.62777223289575,-151.56756819692833,59.633270101880136,-151.5561045973848,59.628428864908045
-151.55410517391516,59.627696948094076,-151.56772142025628,59.63323315791576,-151.55620832453877,59.62836084856393
-151.55418701751822,59.6276216632924,-151.56787464358422,59.63319621395138,-151.55631205169271,59.62829283221981
-151.55426886112124,59.62754637849073,-151.56802786691216,59.633159269987004,-151.55641577884666,59.6282248158757
-151.5543507047243,59.62747109368905,-151.56818109024013,59.63312232602262,-151.55651950600063,59.62815679953158
-151.55443254832733,59.62739580888738,-151.56833431356807,59.63308538205825,-151.55662323315457,59.628088783187465
-151.55451439193035,59.627320524085704,-151.56848753689601,59.633048438093866,-151.5567269603085,59.62802076684335
-151.5545962355334,59.62724523928403,-151.56864076022396,59.63301149412949,-151.55683068746245,59.62795275049923
-151.55467807913644,59.627169954482355,-151.5687939835519,59.63297455016511,-151.55693441461642,59.62788473415512
-151.5547599227395,59.62709466968068,-151.56894720687984,59.632937606200734,-151.55703814177036,59.627816717811
-151.55484176634252,59.627019384879006,-151.56910043020778,59.63290066223635,-151.5571418689243,59.627748701466885
-151.55492360994555,59.62694410007733,-151.56925365353572,59.63286371827198,-151.55724559607827,59.62768068512277
-151.5550054535486,59.62686881527566,-151.56940687686367,59.632826774307595,-151.55734932323222,59.62761266877865
-151.55508729715163,59.62679353047398,-151.5695601001916,59.632789830343214,-151.55745305038616,59.62754465243454
