p_pick_sec,s_pick_sec,denoised_channels
107.87999725341797,113.0,0.0
111.5999984741211,111.72000122070312,1.0
0.0,113.80000305175781,2.0
112.68000030517578,113.36000061035156,3.0
237.83999633789062,239.9600067138672,4.0
234.83999633789062,239.9600067138672,5.0
112.04000091552734,239.9600067138672,6.0
129.8000030517578,130.0,7.0
224.8000030517578,1.7200000286102295,8.0
87.72000122070312,87.63999938964844,9.0
87.44000244140625,87.5199966430664,10.0
238.67999267578125,87.44000244140625,11.0
239.0399932861328,239.9600067138672,12.0
238.83999633789062,87.44000244140625,13.0
238.8000030517578,239.9600067138672,14.0
238.83999633789062,87.12000274658203,15.0
238.75999450683594,72.19999694824219,16.0
62.15999984741211,72.08000183105469,17.0
63.08000183105469,71.4800033569336,18.0
38.279998779296875,64.4000015258789,19.0
38.439998626708984,64.68000030517578,20.0
200.24000549316406,86.16000366210938,21.0
200.1199951171875,87.4000015258789,22.0
200.0800018310547,87.4000015258789,23.0
232.9600067138672,87.4000015258789,24.0
238.72000122070312,87.23999786376953,25.0
238.52000427246094,87.27999877929688,26.0
87.12000274658203,86.87999725341797,27.0
87.4000015258789,87.08000183105469,28.0
86.76000213623047,87.23999786376953,29.0
70.76000213623047,86.87999725341797,30.0
61.31999969482422,86.55999755859375,31.0
59.79999923706055,80.4800033569336,32.0
59.52000045776367,83.55999755859375,33.0
59.599998474121094,81.55999755859375,34.0
58.599998474121094,79.63999938964844,35.0
174.0800018310547,70.76000213623047,36.0
174.24000549316406,70.76000213623047,37.0
61.47999954223633,232.39999389648438,38.0
61.47999954223633,82.91999816894531,39.0
61.79999923706055,62.7599983215332,40.0
62.119998931884766,62.20000076293945,41.0
83.44000244140625,83.12000274658203,42.0
62.119998931884766,62.439998626708984,43.0
62.119998931884766,62.880001068115234,44.0
62.439998626708984,63.119998931884766,45.0
61.15999984741211,239.9600067138672,46.0
61.15999984741211,62.20000076293945,47.0
61.47999954223633,62.20000076293945,48.0
61.880001068115234,62.119998931884766,49.0
61.79999923706055,61.79999923706055,50.0
62.119998931884766,62.20000076293945,51.0
61.84000015258789,61.84000015258789,52.0
60.959999084472656,99.36000061035156,53.0
60.68000030517578,99.27999877929688,54.0
60.7599983215332,99.68000030517578,55.0
60.79999923706055,60.560001373291016,56.0
60.63999938964844,60.560001373291016,57.0
60.599998474121094,115.0,58.0
60.20000076293945,115.31999969482422,59.0
59.63999938964844,102.83999633789062,60.0
103.23999786376953,143.24000549316406,61.0
111.72000122070312,143.0800018310547,62.0
111.72000122070312,112.55999755859375,63.0
112.55999755859375,115.04000091552734,64.0
238.72000122070312,170.27999877929688,65.0
238.47999572753906,115.87999725341797,66.0
239.0399932861328,174.1199951171875,67.0
59.2400016784668,114.19999694824219,68.0
60.119998931884766,174.55999755859375,69.0
60.040000915527344,62.31999969482422,70.0
62.2400016784668,111.5199966430664,71.0
61.959999084472656,175.63999938964844,72.0
62.0,62.439998626708984,73.0
61.560001373291016,175.72000122070312,74.0
59.040000915527344,175.44000244140625,75.0
59.2400016784668,174.8000030517578,76.0
56.0,174.52000427246094,77.0
51.560001373291016,174.27999877929688,78.0
