p_pick_sec,s_pick_sec,denoised_channels
49.20000076293945,73.55999755859375,0.0
48.400001525878906,68.44000244140625,1.0
64.5199966430664,77.19999694824219,2.0
48.68000030517578,74.36000061035156,3.0
230.1999969482422,74.27999877929688,4.0
50.91999816894531,73.36000061035156,5.0
50.31999969482422,74.08000183105469,6.0
50.2400016784668,73.36000061035156,7.0
49.91999816894531,73.76000213623047,8.0
73.87999725341797,73.87999725341797,9.0
47.84000015258789,73.87999725341797,10.0
0.0,0.0,11.0
0.0,0.0,12.0
47.400001525878906,0.0,13.0
158.8000030517578,0.0,14.0
158.63999938964844,0.0,15.0
0.0,0.0,16.0
229.72000122070312,231.67999267578125,17.0
230.67999267578125,231.55999755859372,18.0
231.0,231.75999450683597,19.0
72.36000061035156,230.75999450683597,20.0
72.36000061035156,86.63999938964844,21.0
72.36000061035156,0.0,22.0
72.19999694824219,0.0,23.0
0.0,0.0,24.0
4.440000057220459,4.760000228881836,25.0
214.47999572753903,0.0,26.0
214.47999572753903,0.0,27.0
45.20000076293945,0.0,28.0
45.47999954223633,0.0,29.0
45.84000015258789,54.119998931884766,30.0
45.2400016784668,222.3600006103516,31.0
45.08000183105469,222.75999450683597,32.0
0.0,223.0,33.0
220.0800018310547,0.0,34.0
219.8800048828125,0.0,35.0
219.6000061035156,0.0,36.0
53.47999954223633,0.0,37.0
53.47999954223633,54.15999984741211,38.0
53.47999954223633,54.119998931884766,39.0
53.15999984741211,222.83999633789065,40.0
53.31999969482422,223.0,41.0
88.36000061035156,223.27999877929688,42.0
201.63999938964844,222.9199981689453,43.0
201.8000030517578,223.0,44.0
53.47999954223633,222.9199981689453,45.0
52.720001220703125,67.36000061035156,46.0
52.68000030517578,66.91999816894531,47.0
52.68000030517578,67.12000274658203,48.0
52.43999862670898,223.0800018310547,49.0
52.119998931884766,88.87999725341797,50.0
52.27999877929688,88.16000366210938,51.0
52.15999984741211,215.3999938964844,52.0
52.20000076293945,215.2400054931641,53.0
52.68000030517578,215.3999938964844,54.0
52.43999862670898,215.2400054931641,55.0
52.79999923706055,215.16000366210935,56.0
52.36000061035156,215.2400054931641,57.0
52.36000061035156,86.87999725341797,58.0
52.27999877929688,87.08000183105469,59.0
52.36000061035156,87.19999694824219,60.0
52.15999984741211,86.80000305175781,61.0
52.31999969482422,86.4800033569336,62.0
