channel,KKFLS_p_sec,KKFLS_s_sec,TERRA_p_sec,TERRA_s_sec,KKFLN_p_sec,KKFLN_s_sec
0,9.859999656677246,15.979999542236328,,15.960000038146973,,
1,9.520000457763672,15.84000015258789,,16.020000457763672,,
2,9.260000228881836,15.920000076293944,,,,
3,9.520000457763672,15.84000015258789,,15.800000190734863,,
4,7.21999979019165,15.220000267028809,9.18000030517578,15.979999542236328,,
5,9.479999542236328,15.720000267028809,9.420000076293944,15.720000267028809,,
6,9.31999969482422,15.859999656677246,9.380000114440918,15.68000030517578,,
7,9.260000228881836,15.880000114440918,,15.81999969482422,,
8,9.260000228881836,15.760000228881836,,16.18000030517578,,
9,9.359999656677246,15.800000190734863,9.5600004196167,16.18000030517578,,
10,9.300000190734863,15.920000076293944,9.600000381469728,,,
11,9.5,15.84000015258789,9.380000114440918,,,
12,9.399999618530272,15.84000015258789,9.279999732971191,,,
13,9.600000381469728,15.960000038146973,9.279999732971191,,,
14,9.5,15.880000114440918,9.220000267028809,,,
15,9.34000015258789,15.68000030517578,9.18000030517578,,,
16,9.359999656677246,15.699999809265137,9.199999809265137,,,
17,9.31999969482422,15.699999809265137,9.399999618530272,,,
18,9.15999984741211,15.68000030517578,9.260000228881836,,,
19,9.18000030517578,15.859999656677246,9.5,16.020000457763672,,
20,9.260000228881836,15.779999732971191,9.399999618530272,15.859999656677246,,
21,9.18000030517578,15.84000015258789,9.399999618530272,15.899999618530272,,
22,9.359999656677246,15.739999771118164,9.140000343322754,15.800000190734863,,
23,9.31999969482422,15.800000190734863,9.15999984741211,15.880000114440918,,
24,9.300000190734863,15.739999771118164,9.119999885559082,15.880000114440918,,
25,9.239999771118164,15.760000228881836,9.34000015258789,15.760000228881836,,
26,9.220000267028809,15.81999969482422,9.199999809265137,16.040000915527344,,
27,9.220000267028809,15.760000228881836,9.279999732971191,,,
28,9.220000267028809,15.760000228881836,9.260000228881836,15.779999732971191,,
29,9.119999885559082,15.81999969482422,9.479999542236328,,,
30,9.119999885559082,15.779999732971191,9.18000030517578,,,
31,9.420000076293944,15.640000343322754,,,,
32,9.18000030517578,15.760000228881836,9.279999732971191,15.920000076293944,,
33,9.100000381469728,15.739999771118164,9.0600004196167,16.020000457763672,,
34,9.239999771118164,15.65999984741211,9.15999984741211,16.020000457763672,,
35,9.380000114440918,15.699999809265137,9.380000114440918,15.81999969482422,,
36,9.020000457763672,15.800000190734863,9.380000114440918,16.260000228881836,,
37,9.100000381469728,15.81999969482422,9.119999885559082,15.779999732971191,,
38,9.15999984741211,15.81999969482422,9.079999923706056,16.200000762939453,,
39,9.220000267028809,15.960000038146973,9.039999961853027,15.779999732971191,,
40,9.260000228881836,15.81999969482422,9.15999984741211,15.760000228881836,,
41,9.220000267028809,15.619999885559082,9.199999809265137,15.619999885559082,,
42,9.260000228881836,15.619999885559082,9.520000457763672,,,
43,9.220000267028809,15.779999732971191,9.260000228881836,,,
44,9.140000343322754,15.81999969482422,9.420000076293944,15.720000267028809,,
45,8.960000038146973,15.720000267028809,9.31999969482422,,,
46,9.300000190734863,15.68000030517578,9.199999809265137,,,
47,9.300000190734863,15.15999984741211,9.15999984741211,15.65999984741211,,
48,9.239999771118164,15.399999618530272,9.359999656677246,16.059999465942383,,
49,9.359999656677246,15.359999656677246,9.399999618530272,,,
50,9.279999732971191,15.720000267028809,9.380000114440918,,,
51,9.220000267028809,15.779999732971191,9.260000228881836,15.5,,
52,9.18000030517578,15.619999885559082,9.31999969482422,15.260000228881836,,
53,9.079999923706056,15.84000015258789,9.199999809265137,15.460000038146973,,
54,9.079999923706056,15.880000114440918,9.239999771118164,15.5600004196167,,
55,9.039999961853027,15.779999732971191,9.420000076293944,15.31999969482422,,
56,9.100000381469728,15.720000267028809,9.399999618530272,15.520000457763672,,
57,9.31999969482422,15.779999732971191,9.34000015258789,15.359999656677246,,
58,9.279999732971191,15.699999809265137,9.31999969482422,15.460000038146973,,
59,9.34000015258789,15.68000030517578,9.420000076293944,15.420000076293944,,
60,9.15999984741211,15.800000190734863,9.539999961853027,15.460000038146973,,
61,9.039999961853027,15.619999885559082,9.479999542236328,15.15999984741211,,
62,9.34000015258789,15.579999923706056,9.100000381469728,15.119999885559082,,
63,9.31999969482422,15.720000267028809,9.100000381469728,15.4399995803833,,
64,9.119999885559082,15.779999732971191,9.460000038146973,15.479999542236328,,
65,8.880000114440918,15.779999732971191,9.460000038146973,15.420000076293944,,
66,9.020000457763672,15.720000267028809,9.420000076293944,15.520000457763672,,
67,8.960000038146973,15.81999969482422,9.399999618530272,14.899999618530272,,
68,9.039999961853027,15.720000267028809,9.020000457763672,14.520000457763672,,
69,9.079999923706056,15.720000267028809,9.199999809265137,14.65999984741211,,
70,9.399999618530272,15.880000114440918,9.199999809265137,15.460000038146973,,
71,9.239999771118164,15.520000457763672,9.119999885559082,15.579999923706056,,
72,9.220000267028809,15.720000267028809,9.079999923706056,15.65999984741211,,
73,9.140000343322754,15.65999984741211,9.119999885559082,15.65999984741211,,
74,9.220000267028809,15.84000015258789,9.039999961853027,15.380000114440918,,
75,9.399999618530272,15.859999656677246,9.220000267028809,15.579999923706056,,
76,9.380000114440918,15.760000228881836,9.380000114440918,15.84000015258789,,
77,9.239999771118164,15.81999969482422,9.18000030517578,15.699999809265137,,
