channel,rerun_p_sec,rerun_s_sec
100.0,,15.960000038146973
101.0,,16.020000457763672
102.0,,
103.0,,15.800000190734863
104.0,9.18000030517578,15.979999542236328
105.0,9.420000076293944,15.720000267028809
106.0,9.380000114440918,15.68000030517578
107.0,,15.81999969482422
108.0,,16.18000030517578
109.0,9.5600004196167,16.18000030517578
110.0,9.600000381469728,
111.0,9.380000114440918,
112.0,9.279999732971191,
113.0,9.279999732971191,
114.0,9.220000267028809,
115.0,9.18000030517578,
116.0,9.199999809265137,
117.0,9.399999618530272,
118.0,9.260000228881836,
119.0,9.5,16.020000457763672
120.0,9.399999618530272,15.859999656677246
121.0,9.399999618530272,15.899999618530272
122.0,9.140000343322754,15.800000190734863
123.0,9.15999984741211,15.880000114440918
124.0,9.119999885559082,15.880000114440918
125.0,9.34000015258789,15.760000228881836
126.0,9.199999809265137,16.040000915527344
127.0,9.279999732971191,
128.0,9.260000228881836,15.779999732971191
129.0,9.479999542236328,
130.0,9.18000030517578,
131.0,,
132.0,9.279999732971191,15.920000076293944
133.0,9.0600004196167,16.020000457763672
134.0,9.15999984741211,16.020000457763672
135.0,9.380000114440918,15.81999969482422
136.0,9.380000114440918,16.260000228881836
137.0,9.119999885559082,15.779999732971191
138.0,9.079999923706056,16.200000762939453
139.0,9.039999961853027,15.779999732971191
140.0,9.15999984741211,15.760000228881836
141.0,9.199999809265137,15.619999885559082
142.0,9.520000457763672,
143.0,9.260000228881836,
144.0,9.420000076293944,15.720000267028809
145.0,9.31999969482422,
146.0,9.199999809265137,
147.0,9.15999984741211,15.65999984741211
148.0,9.359999656677246,16.059999465942383
149.0,9.399999618530272,
150.0,9.380000114440918,
151.0,9.260000228881836,15.5
152.0,9.31999969482422,15.260000228881836
153.0,9.199999809265137,15.460000038146973
154.0,9.239999771118164,15.5600004196167
155.0,9.420000076293944,15.31999969482422
156.0,9.399999618530272,15.520000457763672
157.0,9.34000015258789,15.359999656677246
158.0,9.31999969482422,15.460000038146973
159.0,9.420000076293944,15.420000076293944
160.0,9.539999961853027,15.460000038146973
161.0,9.479999542236328,15.15999984741211
162.0,9.100000381469728,15.119999885559082
163.0,9.100000381469728,15.4399995803833
164.0,9.460000038146973,15.479999542236328
165.0,9.460000038146973,15.420000076293944
166.0,9.420000076293944,15.520000457763672
167.0,9.399999618530272,14.899999618530272
168.0,9.020000457763672,14.520000457763672
169.0,9.199999809265137,14.65999984741211
170.0,9.199999809265137,15.460000038146973
171.0,9.119999885559082,15.579999923706056
172.0,9.079999923706056,15.65999984741211
173.0,9.119999885559082,15.65999984741211
174.0,9.039999961853027,15.380000114440918
175.0,9.220000267028809,15.579999923706056
176.0,9.380000114440918,15.84000015258789
177.0,9.18000030517578,15.699999809265137
178.0,9.18000030517578,15.65999984741211
179.0,9.380000114440918,15.800000190734863
180.0,9.34000015258789,15.65999984741211
181.0,9.300000190734863,15.699999809265137
182.0,9.34000015258789,15.65999984741211
